,County,State,Population,State and County
2284,Montour,PA,"18,089",PA Montour
2285,Northampton,PA,"318,157",PA Northampton
2286,Northumberland,PA,"90,989",PA Northumberland
2287,Perry,PA,"45,943",PA Perry
2288,Philadelphia,PA,"1,589,623",PA Philadelphia
2289,Pike,PA,"59,997",PA Pike
2290,Potter,PA,"16,311",PA Potter
2291,Schuylkill,PA,"143,157",PA Schuylkill
2292,Snyder,PA,"39,734",PA Snyder
2293,Somerset,PA,"72,989",PA Somerset
2294,Sullivan,PA,"5,859",PA Sullivan
2295,Susquehanna,PA,"38,417",PA Susquehanna
2296,Tioga,PA,"41,308",PA Tioga
2297,Union,PA,"42,469",PA Union
2298,Venango,PA,"50,040",PA Venango
2299,Warren,PA,"38,161",PA Warren
2300,Washington,PA,"210,054",PA Washington
2301,Wayne,PA,"51,188",PA Wayne
2302,Westmoreland,PA,"353,717",PA Westmoreland
2303,Wyoming,PA,"26,106",PA Wyoming
2304,York,PA,"459,183",PA York
2305,Bristol,RI,"50,774",RI Bristol
2306,Kent,RI,"171,077",RI Kent
2307,Newport,RI,"85,608",RI Newport
2308,Providence,RI,"658,782",RI Providence
2309,Washington,RI,"130,851",RI Washington
2310,Abbeville,SC,"24,262",SC Abbeville
2311,Aiken,SC,"171,247",SC Aiken
2312,Allendale,SC,"7,714",SC Allendale
2313,Anderson,SC,"206,885",SC Anderson
2314,Bamberg,SC,"13,117",SC Bamberg
2315,Barnwell,SC,"20,594",SC Barnwell
2316,Beaufort,SC,"191,997",SC Beaufort
2317,Berkeley,SC,"236,857",SC Berkeley
2318,Calhoun,SC,"14,138",SC Calhoun
2319,Charleston,SC,"414,514",SC Charleston
2320,Cherokee,SC,"56,098",SC Cherokee
2321,Chester,SC,"32,148",SC Chester
2322,Chesterfield,SC,"43,337",SC Chesterfield
2323,Clarendon,SC,"30,961",SC Clarendon
2324,Colleton,SC,"38,459",SC Colleton
2325,Darlington,SC,"62,725",SC Darlington
2326,Dillon,SC,"27,970",SC Dillon
2327,Dorchester,SC,"163,452",SC Dorchester
2328,Edgefield,SC,"26,274",SC Edgefield
