,County,State,Population,State and County
622,Greene,IL,"11,847",IL Greene
623,Grundy,IL,"52,959",IL Grundy
624,Hamilton,IL,"7,913",IL Hamilton
625,Hancock,IL,"17,376",IL Hancock
626,Hardin,IL,"3,635",IL Hardin
627,Henderson,IL,"6,306",IL Henderson
628,Henry,IL,"48,911",IL Henry
629,Iroquois,IL,"26,775",IL Iroquois
630,Jackson,IL,"52,604",IL Jackson
631,Jasper,IL,"9,193",IL Jasper
632,Jefferson,IL,"36,889",IL Jefferson
633,Jersey,IL,"21,349",IL Jersey
634,Jo Daviess,IL,"21,972",IL Jo Daviess
635,Johnson,IL,"13,472",IL Johnson
636,Kane,IL,"516,292",IL Kane
637,Kankakee,IL,"106,605",IL Kankakee
638,Kendall,IL,"135,015",IL Kendall
639,Knox,IL,"49,310",IL Knox
640,Lake,IL,"712,570",IL Lake
641,LaSalle,IL,"109,160",IL LaSalle
642,Lawrence,IL,"15,228",IL Lawrence
643,Lee,IL,"34,195",IL Lee
644,Livingston,IL,"35,769",IL Livingston
645,Logan,IL,"27,979",IL Logan
646,McDonough,IL,"26,880",IL McDonough
647,McHenry,IL,"311,543",IL McHenry
648,McLean,IL,"171,109",IL McLean
649,Macon,IL,"102,597",IL Macon
650,Macoupin,IL,"44,492",IL Macoupin
651,Madison,IL,"264,867",IL Madison
652,Marion,IL,"37,379",IL Marion
653,Marshall,IL,"11,668",IL Marshall
654,Mason,IL,"12,830",IL Mason
655,Massac,IL,"13,946",IL Massac
656,Menard,IL,"12,167",IL Menard
657,Mercer,IL,"15,580",IL Mercer
658,Monroe,IL,"35,004",IL Monroe
659,Montgomery,IL,"28,082",IL Montgomery
660,Morgan,IL,"32,646",IL Morgan
661,Moultrie,IL,"14,561",IL Moultrie
662,Ogle,IL,"51,464",IL Ogle
663,Peoria,IL,"179,638",IL Peoria
664,Perry,IL,"21,014",IL Perry
665,Piatt,IL,"16,757",IL Piatt
666,Pike,IL,"14,621",IL Pike
667,Pope,IL,"3,758",IL Pope
668,Pulaski,IL,"5,075",IL Pulaski
669,Putnam,IL,"5,588",IL Putnam
670,Randolph,IL,"30,204",IL Randolph
671,Richland,IL,"15,767",IL Richland
672,Rock Island,IL,"142,923",IL Rock Island
673,St Clair,IL,"254,958",IL St Clair
674,Saline,IL,"23,316",IL Saline
675,Sangamon,IL,"195,371",IL Sangamon
676,Schuyler,IL,"6,831",IL Schuyler
677,Scott,IL,"4,849",IL Scott
678,Shelby,IL,"20,862",IL Shelby
679,Stark,IL,"5,284",IL Stark
680,Stephenson,IL,"44,062",IL Stephenson
681,Tazewell,IL,"130,412",IL Tazewell
682,Union,IL,"16,921",IL Union
683,Vermilion,IL,"73,164",IL Vermilion
684,Wabash,IL,"11,208",IL Wabash
685,Warren,IL,"16,585",IL Warren
686,Washington,IL,"13,640",IL Washington
687,Wayne,IL,"15,956",IL Wayne
688,White,IL,"13,758",IL White
689,Whiteside,IL,"55,302",IL Whiteside
690,Will,IL,"699,176",IL Will
691,Williamson,IL,"66,883",IL Williamson
692,Winnebago,IL,"283,333",IL Winnebago
693,Woodford,IL,"38,220",IL Woodford
694,Adams,IN,"35,991",IN Adams
695,Allen,IN,"389,163",IN Allen
696,Bartholomew,IN,"82,729",IN Bartholomew
697,Benton,IN,"8,686",IN Benton
698,Blackford,IN,"12,041",IN Blackford
699,Boone,IN,"73,080",IN Boone
700,Brown,IN,"15,592",IN Brown
701,Carroll,IN,"20,525",IN Carroll
702,Cass,IN,"37,558",IN Cass
703,Clark,IN,"122,895",IN Clark
704,Clay,IN,"26,394",IN Clay
705,Clinton,IN,"32,983",IN Clinton
706,Crawford,IN,"10,491",IN Crawford
707,Daviess,IN,"33,396",IN Daviess
708,Dearborn,IN,"50,875",IN Dearborn
709,Decatur,IN,"26,353",IN Decatur
710,Delaware,IN,"112,057",IN Delaware
711,Dubois,IN,"43,565",IN Dubois
712,Elkhart,IN,"207,054",IN Elkhart
713,Fayette,IN,"23,381",IN Fayette
714,Floyd,IN,"80,595",IN Floyd
715,Fountain,IN,"16,480",IN Fountain
716,Franklin,IN,"22,889",IN Franklin
717,Fulton,IN,"20,412",IN Fulton
718,Gibson,IN,"32,965",IN Gibson
719,Grant,IN,"66,188",IN Grant
720,Greene,IN,"30,862",IN Greene
721,Hamilton,IN,"357,620",IN Hamilton
722,Hancock,IN,"81,891",IN Hancock
723,Harrison,IN,"39,805",IN Harrison
724,Hendricks,IN,"179,800",IN Hendricks
725,Henry,IN,"49,024",IN Henry
726,Howard,IN,"83,650",IN Howard
727,Huntington,IN,"36,788",IN Huntington
728,Jackson,IN,"46,224",IN Jackson
729,Jasper,IN,"33,165",IN Jasper
730,Jay,IN,"20,282",IN Jay
731,Jefferson,IN,"33,117",IN Jefferson
732,Jennings,IN,"27,513",IN Jennings
733,Johnson,IN,"164,394",IN Johnson
734,Knox,IN,"35,976",IN Knox
735,Kosciusko,IN,"80,237",IN Kosciusko
736,LaGrange,IN,"40,527",IN LaGrange
737,Lake,IN,"499,257",IN Lake
738,LaPorte,IN,"112,513",IN LaPorte
739,Lawrence,IN,"45,066",IN Lawrence
740,Madison,IN,"130,841",IN Madison
741,Marion,IN,"971,543",IN Marion
742,Marshall,IN,"46,160",IN Marshall
743,Martin,IN,"9,804",IN Martin
744,Miami,IN,"35,999",IN Miami
745,Monroe,IN,"140,176",IN Monroe
746,Montgomery,IN,"38,057",IN Montgomery
747,Morgan,IN,"72,275",IN Morgan
748,Newton,IN,"13,820",IN Newton
749,Noble,IN,"47,392",IN Noble
750,Ohio,IN,"5,994",IN Ohio
751,Orange,IN,"19,806",IN Orange
752,Owen,IN,"21,514",IN Owen
753,Parke,IN,"16,486",IN Parke
754,Perry,IN,"19,334",IN Perry
755,Pike,IN,"12,170",IN Pike
756,Porter,IN,"174,551",IN Porter
757,Posey,IN,"25,165",IN Posey
758,Pulaski,IN,"12,360",IN Pulaski
759,Putnam,IN,"37,043",IN Putnam
760,Randolph,IN,"24,409",IN Randolph
761,Ripley,IN,"29,015",IN Ripley
762,Rush,IN,"16,679",IN Rush
763,St Joseph,IN,"272,286",IN St Joseph
764,Scott,IN,"24,422",IN Scott
765,Shelby,IN,"45,101",IN Shelby
766,Spencer,IN,"19,841",IN Spencer
767,Starke,IN,"23,373",IN Starke
768,Steuben,IN,"34,702",IN Steuben
769,Sullivan,IN,"20,777",IN Sullivan
770,Switzerland,IN,"9,869",IN Switzerland
771,Tippecanoe,IN,"187,423",IN Tippecanoe
772,Tipton,IN,"15,394",IN Tipton
773,Union,IN,"7,018",IN Union
774,Vanderburgh,IN,"180,165",IN Vanderburgh
775,Vermillion,IN,"15,435",IN Vermillion
776,Vigo,IN,"106,116",IN Vigo
777,Wabash,IN,"30,893",IN Wabash
778,Warren,IN,"8,449",IN Warren
779,Warrick,IN,"64,657",IN Warrick
780,Washington,IN,"28,138",IN Washington
781,Wayne,IN,"66,435",IN Wayne
782,Wells,IN,"28,154",IN Wells
783,White,IN,"24,643",IN White
784,Whitley,IN,"34,470",IN Whitley
785,Adair,IA,"7,524",IA Adair
786,Adams,IA,"3,638",IA Adams
787,Allamakee,IA,"13,968",IA Allamakee
788,Appanoose,IA,"12,269",IA Appanoose
789,Audubon,IA,"5,645",IA Audubon
790,Benton,IA,"25,738",IA Benton
791,Black Hawk,IA,"130,576",IA Black Hawk
792,Boone,IA,"26,761",IA Boone
793,Bremer,IA,"25,118",IA Bremer
794,Buchanan,IA,"20,703",IA Buchanan
795,Buena Vista,IA,"20,790",IA Buena Vista
796,Butler,IA,"14,348",IA Butler
797,Calhoun,IA,"9,895",IA Calhoun
798,Carroll,IA,"20,740",IA Carroll
799,Cass,IA,"13,089",IA Cass
800,Cedar,IA,"18,436",IA Cedar
801,Cerro Gordo,IA,"42,761",IA Cerro Gordo
802,Cherokee,IA,"11,535",IA Cherokee
803,Chickasaw,IA,"11,883",IA Chickasaw
804,Clarke,IA,"9,756",IA Clarke
805,Clay,IA,"16,454",IA Clay
806,Clayton,IA,"17,053",IA Clayton
807,Clinton,IA,"46,483",IA Clinton
808,Crawford,IA,"16,232",IA Crawford
809,Dallas,IA,"104,174",IA Dallas
810,Davis,IA,"9,150",IA Davis
811,Decatur,IA,"7,668",IA Decatur
812,Delaware,IA,"17,553",IA Delaware
813,Des Moines,IA,"38,506",IA Des Moines
814,Dickinson,IA,"17,868",IA Dickinson
815,Dubuque,IA,"98,854",IA Dubuque
816,Emmet,IA,"9,334",IA Emmet
817,Fayette,IA,"19,295",IA Fayette
818,Floyd,IA,"15,465",IA Floyd
819,Franklin,IA,"9,952",IA Franklin
820,Fremont,IA,"6,583",IA Fremont
821,Greene,IA,"8,724",IA Greene
822,Grundy,IA,"12,358",IA Grundy
823,Guthrie,IA,"10,588",IA Guthrie
824,Hamilton,IA,"14,863",IA Hamilton
825,Hancock,IA,"10,680",IA Hancock
826,Hardin,IA,"16,702",IA Hardin
827,Harrison,IA,"14,690",IA Harrison
828,Henry,IA,"20,382",IA Henry
829,Howard,IA,"9,496",IA Howard
830,Humboldt,IA,"9,630",IA Humboldt
831,Ida,IA,"6,969",IA Ida
832,Iowa,IA,"16,586",IA Iowa
833,Jackson,IA,"19,399",IA Jackson
834,Jasper,IA,"37,874",IA Jasper
835,Jefferson,IA,"15,781",IA Jefferson
836,Johnson,IA,"155,035",IA Johnson
837,Jones,IA,"20,826",IA Jones
838,Keokuk,IA,"9,902",IA Keokuk
839,Kossuth,IA,"14,515",IA Kossuth
840,Lee,IA,"33,257",IA Lee
841,Linn,IA,"229,445",IA Linn
842,Louisa,IA,"10,724",IA Louisa
843,Lucas,IA,"8,706",IA Lucas
844,Lyon,IA,"12,040",IA Lyon
845,Madison,IA,"16,793",IA Madison
846,Mahaska,IA,"21,974",IA Mahaska
847,Marion,IA,"33,441",IA Marion
848,Marshall,IA,"39,913",IA Marshall
849,Mills,IA,"14,467",IA Mills
850,Mitchell,IA,"10,563",IA Mitchell
851,Monona,IA,"8,598",IA Monona
852,Monroe,IA,"7,581",IA Monroe
853,Montgomery,IA,"10,316",IA Montgomery
854,Muscatine,IA,"42,674",IA Muscatine
855,O'Brien,IA,"14,044",IA O'Brien
856,Osceola,IA,"6,170",IA Osceola
857,Page,IA,"15,220",IA Page
858,Palo Alto,IA,"8,923",IA Palo Alto
859,Plymouth,IA,"25,731",IA Plymouth
860,Pocahontas,IA,"7,039",IA Pocahontas
861,Polk,IA,"497,842",IA Polk
862,Pottawattamie,IA,"93,410",IA Pottawattamie
863,Poweshiek,IA,"18,624",IA Poweshiek
864,Ringgold,IA,"4,632",IA Ringgold
865,Sac,IA,"9,768",IA Sac
866,Scott,IA,"174,225",IA Scott
867,Shelby,IA,"11,780",IA Shelby
868,Sioux,IA,"35,959",IA Sioux
869,Story,IA,"99,679",IA Story
870,Tama,IA,"16,898",IA Tama
871,Taylor,IA,"5,866",IA Taylor
872,Union,IA,"12,049",IA Union
873,Van Buren,IA,"7,258",IA Van Buren
874,Wapello,IA,"35,295",IA Wapello
875,Warren,IA,"53,485",IA Warren
876,Washington,IA,"22,522",IA Washington
877,Wayne,IA,"6,531",IA Wayne
878,Webster,IA,"37,170",IA Webster
879,Winnebago,IA,"10,661",IA Winnebago
880,Winneshiek,IA,"19,935",IA Winneshiek
881,Woodbury,IA,"105,749",IA Woodbury
882,Worth,IA,"7,377",IA Worth
883,Wright,IA,"12,813",IA Wright
884,Allen,KS,"12,498",KS Allen
885,Anderson,KS,"7,807",KS Anderson
886,Atchison,KS,"16,236",KS Atchison
887,Barber,KS,"4,099",KS Barber
888,Barton,KS,"25,263",KS Barton
889,Bourbon,KS,"14,326",KS Bourbon
890,Brown,KS,"9,446",KS Brown
891,Butler,KS,"67,976",KS Butler
892,Chase,KS,"2,604",KS Chase
893,Chautauqua,KS,"3,389",KS Chautauqua
894,Cherokee,KS,"19,186",KS Cherokee
895,Cheyenne,KS,"2,637",KS Cheyenne
896,Clark,KS,"1,958",KS Clark
897,Clay,KS,"8,090",KS Clay
898,Cloud,KS,"8,954",KS Cloud
899,Coffey,KS,"8,337",KS Coffey
900,Comanche,KS,"1,663",KS Comanche
901,Cowley,KS,"34,624",KS Cowley
902,Crawford,KS,"39,028",KS Crawford
903,Decatur,KS,"2,766",KS Decatur
904,Dickinson,KS,"18,465",KS Dickinson
905,Doniphan,KS,"7,456",KS Doniphan
906,Douglas,KS,"119,493",KS Douglas
907,Edwards,KS,"2,802",KS Edwards
908,Elk,KS,"2,439",KS Elk
909,Ellis,KS,"28,850",KS Ellis
910,Ellsworth,KS,"6,324",KS Ellsworth
911,Finney,KS,"38,079",KS Finney
912,Ford,KS,"34,186",KS Ford
913,Franklin,KS,"26,002",KS Franklin
914,Geary,KS,"36,116",KS Geary
915,Gove,KS,"2,747",KS Gove
916,Graham,KS,"2,400",KS Graham
917,Grant,KS,"7,333",KS Grant
918,Gray,KS,"5,664",KS Gray
919,Greeley,KS,"1,282",KS Greeley
920,Greenwood,KS,"5,921",KS Greenwood
921,Hamilton,KS,"2,478",KS Hamilton
922,Harper,KS,"5,355",KS Harper
923,Harvey,KS,"33,788",KS Harvey
924,Haskell,KS,"3,652",KS Haskell
925,Hodgeman,KS,"1,724",KS Hodgeman
926,Jackson,KS,"13,263",KS Jackson
927,Jefferson,KS,"18,429",KS Jefferson
928,Jewell,KS,"2,942",KS Jewell
929,Johnson,KS,"614,889",KS Johnson
930,Kearny,KS,"3,897",KS Kearny
931,Kingman,KS,"7,291",KS Kingman
932,Kiowa,KS,"2,409",KS Kiowa
933,Labette,KS,"19,914",KS Labette
934,Lane,KS,"1,561",KS Lane
935,Leavenworth,KS,"82,398",KS Leavenworth
936,Lincoln,KS,"2,910",KS Lincoln
937,Linn,KS,"9,740",KS Linn
938,Logan,KS,"2,710",KS Logan
939,Lyon,KS,"32,028",KS Lyon
940,McPherson,KS,"30,164",KS McPherson
941,Marion,KS,"11,750",KS Marion
942,Marshall,KS,"10,021",KS Marshall
943,Meade,KS,"3,997",KS Meade
944,Miami,KS,"34,641",KS Miami
945,Mitchell,KS,"5,744",KS Mitchell
946,Montgomery,KS,"31,181",KS Montgomery
947,Morris,KS,"5,386",KS Morris
948,Morton,KS,"2,671",KS Morton
949,Nemaha,KS,"10,226",KS Nemaha
950,Neosho,KS,"15,787",KS Neosho
951,Ness,KS,"2,651",KS Ness
952,Norton,KS,"5,369",KS Norton
953,Osage,KS,"15,752",KS Osage
954,Osborne,KS,"3,485",KS Osborne
955,Ottawa,KS,"5,830",KS Ottawa
956,Pawnee,KS,"6,247",KS Pawnee
957,Phillips,KS,"4,819",KS Phillips
958,Pottawatomie,KS,"25,873",KS Pottawatomie
959,Pratt,KS,"9,168",KS Pratt
960,Rawlins,KS,"2,558",KS Rawlins
961,Reno,KS,"61,499",KS Reno
962,Republic,KS,"4,688",KS Republic
963,Rice,KS,"9,389",KS Rice
964,Riley,KS,"71,871",KS Riley
965,Rooks,KS,"4,865",KS Rooks
966,Rush,KS,"2,928",KS Rush
967,Russell,KS,"6,697",KS Russell
968,Saline,KS,"53,827",KS Saline
969,Scott,KS,"5,121",KS Scott
970,Sedgwick,KS,"524,423",KS Sedgwick
971,Seward,KS,"21,763",KS Seward
972,Shawnee,KS,"178,403",KS Shawnee
973,Sheridan,KS,"2,451",KS Sheridan
974,Sherman,KS,"5,932",KS Sherman
975,Smith,KS,"3,573",KS Smith
976,Stafford,KS,"4,008",KS Stafford
977,Stanton,KS,"2,045",KS Stanton
978,Stevens,KS,"5,302",KS Stevens
979,Sumner,KS,"22,327",KS Sumner
980,Thomas,KS,"7,948",KS Thomas
981,Trego,KS,"2,788",KS Trego
982,Wabaunsee,KS,"6,970",KS Wabaunsee
983,Wallace,KS,"1,513",KS Wallace
984,Washington,KS,"5,525",KS Washington
985,Wichita,KS,"2,080",KS Wichita
986,Wilson,KS,"8,520",KS Wilson
987,Woodson,KS,"3,084",KS Woodson
988,Wyandotte,KS,"167,262",KS Wyandotte
989,Adair,KY,"18,966",KY Adair
990,Allen,KY,"20,839",KY Allen
991,Anderson,KY,"24,084",KY Anderson
992,Ballard,KY,"7,687",KY Ballard
993,Barren,KY,"44,598",KY Barren
994,Bath,KY,"12,795",KY Bath
995,Bell,KY,"23,834",KY Bell
996,Boone,KY,"137,747",KY Boone
997,Bourbon,KY,"20,224",KY Bourbon
998,Boyd,KY,"47,757",KY Boyd
999,Boyle,KY,"30,604",KY Boyle
1000,Bracken,KY,"8,440",KY Bracken
1001,Breathitt,KY,"13,546",KY Breathitt
1002,Breckinridge,KY,"20,687",KY Breckinridge
1003,Bullitt,KY,"83,073",KY Bullitt
1004,Butler,KY,"12,302",KY Butler
1005,Caldwell,KY,"12,678",KY Caldwell
1006,Calloway,KY,"37,896",KY Calloway
1007,Campbell,KY,"92,828",KY Campbell
1008,Carlisle,KY,"4,761",KY Carlisle
1009,Carroll,KY,"10,896",KY Carroll
1010,Carter,KY,"26,430",KY Carter
1011,Casey,KY,"15,940",KY Casey
1012,Christian,KY,"73,180",KY Christian
1013,Clark,KY,"36,895",KY Clark
1014,Clay,KY,"20,161",KY Clay
1015,Clinton,KY,"9,282",KY Clinton
1016,Crittenden,KY,"8,944",KY Crittenden
1017,Cumberland,KY,"5,900",KY Cumberland
1018,Daviess,KY,"103,089",KY Daviess
1019,Edmonson,KY,"12,237",KY Edmonson
1020,Elliott,KY,"7,361",KY Elliott
1021,Estill,KY,"14,086",KY Estill
1022,Fayette,KY,"320,519",KY Fayette
1023,Fleming,KY,"15,265",KY Fleming
1024,Floyd,KY,"35,304",KY Floyd
1025,Franklin,KY,"51,714",KY Franklin
1026,Fulton,KY,"6,487",KY Fulton
1027,Gallatin,KY,"8,763",KY Gallatin
1028,Garrard,KY,"17,366",KY Garrard
1029,Grant,KY,"25,292",KY Grant
1030,Graves,KY,"36,673",KY Graves
1031,Grayson,KY,"26,583",KY Grayson
1032,Green,KY,"11,325",KY Green
1033,Greenup,KY,"35,643",KY Greenup
1034,Hancock,KY,"9,073",KY Hancock
1035,Hardin,KY,"111,878",KY Hardin
1036,Harlan,KY,"26,150",KY Harlan
1037,Harrison,KY,"18,957",KY Harrison
1038,Hart,KY,"19,477",KY Hart
1039,Henderson,KY,"44,418",KY Henderson
1040,Henry,KY,"15,708",KY Henry
1041,Hickman,KY,"4,426",KY Hickman
1042,Hopkins,KY,"45,189",KY Hopkins
1043,Jackson,KY,"12,980",KY Jackson
1044,Jefferson,KY,"777,251",KY Jefferson
1045,Jessamine,KY,"53,603",KY Jessamine
1046,Johnson,KY,"22,548",KY Johnson
1047,Kenton,KY,"169,698",KY Kenton
1048,Knott,KY,"14,032",KY Knott
1049,Knox,KY,"30,025",KY Knox
1050,Larue,KY,"15,027",KY Larue
1051,Laurel,KY,"62,580",KY Laurel
1052,Lawrence,KY,"16,284",KY Lawrence
1053,Lee,KY,"7,462",KY Lee
1054,Leslie,KY,"10,280",KY Leslie
1055,Letcher,KY,"21,224",KY Letcher
1056,Lewis,KY,"12,991",KY Lewis
1057,Lincoln,KY,"24,295",KY Lincoln
1058,Livingston,KY,"8,980",KY Livingston
1059,Logan,KY,"27,804",KY Logan
1060,Lyon,KY,"8,435",KY Lyon
1061,McCracken,KY,"67,546",KY McCracken
1062,McCreary,KY,"16,804",KY McCreary
1063,McLean,KY,"9,122",KY McLean
1064,Madison,KY,"93,474",KY Madison
1065,Magoffin,KY,"11,489",KY Magoffin
1066,Marion,KY,"19,739",KY Marion
1067,Marshall,KY,"31,829",KY Marshall
1068,Martin,KY,"11,165",KY Martin
1069,Mason,KY,"16,960",KY Mason
1070,Meade,KY,"30,119",KY Meade
1071,Menifee,KY,"6,185",KY Menifee
1072,Mercer,KY,"22,860",KY Mercer
1073,Metcalfe,KY,"10,391",KY Metcalfe
1074,Monroe,KY,"11,260",KY Monroe
1075,Montgomery,KY,"28,230",KY Montgomery
1076,Morgan,KY,"13,689",KY Morgan
1077,Muhlenberg,KY,"30,323",KY Muhlenberg
1078,Nelson,KY,"47,127",KY Nelson
1079,Nicholas,KY,"7,733",KY Nicholas
1080,Ohio,KY,"23,744",KY Ohio
1081,Oldham,KY,"68,238",KY Oldham
1082,Owen,KY,"11,298",KY Owen
1083,Owsley,KY,"3,974",KY Owsley
1084,Pendleton,KY,"14,635",KY Pendleton
1085,Perry,KY,"27,927",KY Perry
1086,Pike,KY,"57,416",KY Pike
1087,Powell,KY,"13,086",KY Powell
1088,Pulaski,KY,"65,571",KY Pulaski
1089,Robertson,KY,"2,257",KY Robertson
1090,Rockcastle,KY,"16,134",KY Rockcastle
1091,Rowan,KY,"24,569",KY Rowan
1092,Russell,KY,"18,172",KY Russell
1093,Scott,KY,"58,316",KY Scott
1094,Shelby,KY,"48,588",KY Shelby
1095,Simpson,KY,"19,734",KY Simpson
1096,Spencer,KY,"19,887",KY Spencer
1097,Taylor,KY,"26,187",KY Taylor
1098,Todd,KY,"12,301",KY Todd
1099,Trigg,KY,"14,220",KY Trigg
1100,Trimble,KY,"8,549",KY Trimble
1101,Union,KY,"13,254",KY Union
1102,Warren,KY,"137,225",KY Warren
1103,Washington,KY,"12,080",KY Washington
1104,Wayne,KY,"19,535",KY Wayne
1105,Webster,KY,"12,852",KY Webster
1106,Whitley,KY,"36,761",KY Whitley
1107,Wolfe,KY,"6,507",KY Wolfe
1108,Woodford,KY,"27,082",KY Woodford
1109,Acadia,LA,"57,217",LA Acadia
1110,Allen,LA,"22,588",LA Allen
1111,Ascension,LA,"128,571",LA Ascension
1112,Assumption,LA,"20,696",LA Assumption
1113,Avoyelles,LA,"39,261",LA Avoyelles
1114,Beauregard,LA,"36,668",LA Beauregard
1115,Bienville,LA,"12,779",LA Bienville
1116,Bossier,LA,"129,323",LA Bossier
1117,Caddo,LA,"232,658",LA Caddo
1118,Calcasieu,LA,"204,914",LA Calcasieu
1119,Caldwell,LA,"9,576",LA Caldwell
1120,Cameron,LA,"5,094",LA Cameron
1121,Catahoula,LA,"8,721",LA Catahoula
1122,Claiborne,LA,"14,043",LA Claiborne
1123,Concordia,LA,"18,348",LA Concordia
1124,De Soto,LA,"26,949",LA De Soto
1125,E Baton Rouge,LA,"453,596",LA E Baton Rouge
1126,E Carroll,LA,"7,229",LA E Carroll
1127,E Feliciana,LA,"19,373",LA E Feliciana
1128,Evangeline,LA,"32,213",LA Evangeline
1129,Franklin,LA,"19,609",LA Franklin
1130,Grant,LA,"22,256",LA Grant
1131,Iberia,LA,"69,325",LA Iberia
1132,Iberville,LA,"29,747",LA Iberville
1133,Jackson,LA,"14,900",LA Jackson
1134,Jefferson,LA,"434,134",LA Jefferson
1135,Jefferson Davis,LA,"32,373",LA Jefferson Davis
1136,Lafayette,LA,"244,880",LA Lafayette
1137,Lafourche,LA,"97,599",LA Lafourche
1138,Lincoln,LA,"48,110",LA Lincoln
1139,Livingston,LA,"146,121",LA Livingston
1140,Madison,LA,"9,801",LA Madison
1141,Morehouse,LA,"25,021",LA Morehouse
1142,Natchitoches,LA,"36,973",LA Natchitoches
1143,Orleans,LA,"377,346",LA Orleans
1144,Ouachita,LA,"158,866",LA Ouachita
1145,Plaquemines,LA,"23,310",LA Plaquemines
1146,Pointe Coupee,LA,"20,346",LA Pointe Coupee
1147,Rapides,LA,"128,626",LA Rapides
1148,Red River,LA,"7,505",LA Red River
1149,Richland,LA,"19,856",LA Richland
1150,Sabine,LA,"22,096",LA Sabine
1151,St Bernard,LA,"44,324",LA St Bernard
1152,St Charles,LA,"52,470",LA St Charles
1153,St Helena,LA,"10,903",LA St Helena
1154,St James,LA,"19,794",LA St James
1155,St John the Baptist,LA,"42,109",LA St John the Baptist
1156,St Landry,LA,"82,191",LA St Landry
1157,St Martin,LA,"51,562",LA St Martin
1158,St Mary,LA,"48,219",LA St Mary
1159,St Tammany,LA,"270,147",LA St Tammany
1160,Tangipahoa,LA,"135,488",LA Tangipahoa
1161,Tensas,LA,"4,024",LA Tensas
1162,Terrebonne,LA,"108,955",LA Terrebonne
1163,Union,LA,"21,001",LA Union
1164,Vermilion,LA,"56,874",LA Vermilion
1165,Vernon,LA,"48,022",LA Vernon
1166,Washington,LA,"45,198",LA Washington
1167,Webster,LA,"35,938",LA Webster
1168,W Baton Rouge,LA,"27,798",LA W Baton Rouge
1169,W Carroll,LA,"9,583",LA W Carroll
1170,W Feliciana,LA,"15,495",LA W Feliciana
1171,Winn,LA,"13,493",LA Winn
1172,Androscoggin,ME,"112,732",ME Androscoggin
1173,Aroostook,ME,"67,075",ME Aroostook
1174,Cumberland,ME,"306,107",ME Cumberland
1175,Franklin,ME,"30,258",ME Franklin
1176,Hancock,ME,"56,355",ME Hancock
1177,Kennebec,ME,"125,752",ME Kennebec
1178,Knox,ME,"41,069",ME Knox
1179,Lincoln,ME,"36,024",ME Lincoln
1180,Oxford,ME,"58,692",ME Oxford
1181,Penobscot,ME,"153,359",ME Penobscot
1182,Piscataquis,ME,"17,217",ME Piscataquis
1183,Sagadahoc,ME,"37,170",ME Sagadahoc
1184,Somerset,ME,"50,782",ME Somerset
1185,Waldo,ME,"39,978",ME Waldo
1186,Washington,ME,"31,192",ME Washington
1187,York,ME,"215,025",ME York
1188,Allegany,MD,"67,687",MD Allegany
1189,Anne Arundel,MD,"592,085",MD Anne Arundel
1190,Baltimore,MD,"850,691",MD Baltimore
1191,Calvert,MD,"94,233",MD Calvert
1192,Caroline,MD,"33,429",MD Caroline
1193,Carroll,MD,"174,313",MD Carroll
1194,Cecil,MD,"104,056",MD Cecil
1195,Charles,MD,"168,927",MD Charles
1196,Dorchester,MD,"32,594",MD Dorchester
1197,Frederick,MD,"280,647",MD Frederick
1198,Garrett,MD,"28,758",MD Garrett
1199,Harford,MD,"263,302",MD Harford
1200,Howard,MD,"335,328",MD Howard
1201,Kent,MD,"19,244",MD Kent
1202,Montgomery,MD,"1,056,193",MD Montgomery
1203,Prince George's,MD,"956,451",MD Prince George's
1204,Queen Anne's,MD,"50,922",MD Queen Anne's
1205,St Mary's,MD,"114,650",MD St Mary's
1206,Somerset,MD,"24,546",MD Somerset
1207,Talbot,MD,"37,756",MD Talbot
1208,Washington,MD,"155,143",MD Washington
1209,Wicomico,MD,"104,114",MD Wicomico
1210,Worcester,MD,"53,398",MD Worcester
1211,City of Baltimore,MD,"576,578",MD City of Baltimore
1212,Barnstable,MA,"232,315",MA Barnstable
1213,Berkshire,MA,"128,376",MA Berkshire
1214,Bristol,MA,"579,756",MA Bristol
1215,Dukes,MA,"21,127",MA Dukes
1216,Essex,MA,"807,360",MA Essex
1217,Franklin,MA,"70,991",MA Franklin
1218,Hampden,MA,"462,862",MA Hampden
1219,Hampshire,MA,"163,128",MA Hampshire
1220,Middlesex,MA,"1,617,262",MA Middlesex
1221,Nantucket,MA,"14,506",MA Nantucket
1222,Norfolk,MA,"724,471",MA Norfolk
1223,Plymouth,MA,"533,059",MA Plymouth
1224,Suffolk,MA,"774,514",MA Suffolk
1225,Worcester,MA,"862,224",MA Worcester
1226,Alcona,MI,"10,295",MI Alcona
1227,Alger,MI,"8,774",MI Alger
1228,Allegan,MI,"121,068",MI Allegan
1229,Alpena,MI,"28,939",MI Alpena
1230,Antrim,MI,"23,879",MI Antrim
1231,Arenac,MI,"15,016",MI Arenac
1232,Baraga,MI,"8,286",MI Baraga
1233,Barry,MI,"63,141",MI Barry
1234,Bay,MI,"103,108",MI Bay
1235,Benzie,MI,"18,237",MI Benzie
1236,Berrien,MI,"153,352",MI Berrien
1237,Branch,MI,"45,215",MI Branch
1238,Calhoun,MI,"133,878",MI Calhoun
1239,Cass,MI,"51,527",MI Cass
1240,Charlevoix,MI,"26,199",MI Charlevoix
1241,Cheboygan,MI,"25,754",MI Cheboygan
1242,Chippewa,MI,"35,849",MI Chippewa
