Unnamed: 0,GeoName,GeoFIPS,Quantity index,Thousands of chained 2012 dollars,Thousands of dollars,County,State,State and County
2560,"Sevier, AR"," ""05133""",120.945,467763,539067,Sevier,AR,AR Sevier
2568,"Sharp, AR"," ""05135""",112.303,330406,400973,Sharp,AR,AR Sharp
2645,"St Francis, AR"," ""05123""",101.516,666412,828211,St Francis,AR,AR St Francis
2693,"Stone, AR"," ""05137""",111.892,228327,281540,Stone,AR,AR Stone
2838,"Union, AR"," ""05139""",106.231,2405297,2866616,Union,AR,AR Union
2868,"Van Buren, AR"," ""05141""",69.491,512019,464068,Van Buren,AR,AR Van Buren
2938,"Washington, AR"," ""05143""",142.278,11570042,14085162,Washington,AR,AR Washington
3022,"White, AR"," ""05145""",90.949,2254589,2641479,White,AR,AR White
3079,"Woodruff, AR"," ""05147""",94.819,222458,262322,Woodruff,AR,AR Woodruff
3109,"Yell, AR"," ""05149""",129.881,607174,716807,Yell,AR,AR Yell
72,"Apache, AZ"," ""04001""",83.476,2166490,2720216,Apache,AZ,AZ Apache
589,"Cochise, AZ"," ""04003""",101.328,4488149,5399087,Cochise,AZ,AZ Cochise
592,"Coconino, AZ"," ""04005""",108.756,6855346,8444850,Coconino,AZ,AZ Coconino
1036,"Gila, AZ"," ""04007""",99.169,1879863,2147803,Gila,AZ,AZ Gila
1069,"Graham, AZ"," ""04009""",139.36,1206104,1546301,Graham,AZ,AZ Graham
1124,"Greenlee, AZ"," ""04011""",138.776,2110512,2172860,Greenlee,AZ,AZ Greenlee
1537,"La Paz, AZ"," ""04012""",116.579,717494,877143,La Paz,AZ,AZ La Paz
1778,"Maricopa, AZ"," ""04013""",133.761,252098319,304496668,Maricopa,AZ,AZ Maricopa
1941,"Mohave, AZ"," ""04015""",123.408,5634375,7037905,Mohave,AZ,AZ Mohave
2039,"Navajo, AZ"," ""04017""",90.711,2676086,3309321,Navajo,AZ,AZ Navajo
2261,"Pima, AZ"," ""04019""",113.301,41618243,50231611,Pima,AZ,AZ Pima
2262,"Pinal, AZ"," ""04021""",130.724,9613026,11593918,Pinal,AZ,AZ Pinal
2512,"Santa Cruz, AZ"," ""04023""",117.852,1838905,2274933,Santa Cruz,AZ,AZ Santa Cruz
3107,"Yavapai, AZ"," ""04025""",129.585,7193227,8796885,Yavapai,AZ,AZ Yavapai
3122,"Yuma, AZ"," ""04027""",124.689,7521194,8977170,Yuma,AZ,AZ Yuma
2436,"Rockbridge, Buena Vista + Lexington, VA*"," ""51945""",105.844,1168535,1473567,Rockbridge,VA,VA Rockbridge
25,"Alameda, CA"," ""06001""",136.257,130465391,152982207,Alameda,CA,CA Alameda
52,"Alpine, CA"," ""06003""",99.621,94933,116410,Alpine,CA,CA Alpine
53,"Amador, CA"," ""06005""",118.107,1612883,1976931,Amador,CA,CA Amador
326,"Butte, CA"," ""06007""",109.939,8094801,10006052,Butte,CA,CA Butte
335,"Calaveras, CA"," ""06009""",130.244,1368814,1712179,Calaveras,CA,CA Calaveras
621,"Colusa, CA"," ""06011""",99.771,1194522,1477208,Colusa,CA,CA Colusa
630,"Contra Costa, CA"," ""06013""",118.208,73533985,80984498,Contra Costa,CA,CA Contra Costa
761,"Del Norte, CA"," ""06015""",103.902,721464,907559,Del Norte,CA,CA Del Norte
861,"El Dorado, CA"," ""06017""",123.278,7378023,9098872,El Dorado,CA,CA El Dorado
990,"Fresno, CA"," ""06019""",124.348,41821044,49987063,Fresno,CA,CA Fresno
1050,"Glenn, CA"," ""06021""",112.904,1092967,1233786,Glenn,CA,CA Glenn
1314,"Humboldt, CA"," ""06023""",108.178,5170257,6456739,Humboldt,CA,CA Humboldt
1333,"Imperial, CA"," ""06025""",126.687,8412312,9912905,Imperial,CA,CA Imperial
1338,"Inyo, CA"," ""06027""",117.912,1184420,1437047,Inyo,CA,CA Inyo
1489,"Kern, CA"," ""06029""",102.068,47528806,52239044,Kern,CA,CA Kern
1506,"Kings, CA"," ""06031""",119.167,6074335,7258824,Kings,CA,CA Kings
1558,"Lake, CA"," ""06033""",114.835,1877770,2326083,Lake,CA,CA Lake
1591,"Lassen, CA"," ""06035""",91.801,1080110,1332149,Lassen,CA,CA Lassen
1710,"Los Angeles, CA"," ""06037""",123.436,711874201,836162805,Los Angeles,CA,CA Los Angeles
1746,"Madera, CA"," ""06039""",117.169,5948983,6907890,Madera,CA,CA Madera
1780,"Marin, CA"," ""06041""",164.093,28590581,35172142,Marin,CA,CA Marin
1799,"Mariposa, CA"," ""06043""",130.176,752739,916395,Mariposa,CA,CA Mariposa
1882,"Mendocino, CA"," ""06045""",111.436,3307837,4123802,Mendocino,CA,CA Mendocino
1886,"Merced, CA"," ""06047""",123.062,8986693,10465518,Merced,CA,CA Merced
1939,"Modoc, CA"," ""06049""",150.694,460062,545721,Modoc,CA,CA Modoc
1944,"Mono, CA"," ""06051""",117.246,1048415,1274698,Mono,CA,CA Mono
1966,"Monterey, CA"," ""06053""",125.217,26112268,30712263,Monterey,CA,CA Monterey
2033,"Napa, CA"," ""06055""",122.792,10062765,12387136,Napa,CA,CA Napa
2050,"Nevada, CA"," ""06057""",107.97,4063224,5036784,Nevada,CA,CA Nevada
2131,"Orange, CA"," ""06059""",122.86,238228949,288519549,Orange,CA,CA Orange
2272,"Placer, CA"," ""06061""",135.928,22716449,27665813,Placer,CA,CA Placer
2279,"Plumas, CA"," ""06063""",96.945,867066,1097864,Plumas,CA,CA Plumas
2422,"Riverside, CA"," ""06065""",130.827,83850304,104504923,Riverside,CA,CA Riverside
2473,"Sacramento, CA"," ""06067""",123.887,86452222,106417145,Sacramento,CA,CA Sacramento
2487,"San Benito, CA"," ""06069""",136.111,2418096,2933589,San Benito,CA,CA San Benito
2488,"San Bernardino, CA"," ""06071""",129.475,87551000,108678543,San Bernardino,CA,CA San Bernardino
2489,"San Diego, CA"," ""06073""",126.208,224954460,267973544,San Diego,CA,CA San Diego
2490,"San Francisco, CA"," ""06075""",180.395,200484675,236385103,San Francisco,CA,CA San Francisco
2492,"San Joaquin, CA"," ""06077""",132.689,30175157,36790065,San Joaquin,CA,CA San Joaquin
2497,"San Luis Obispo, CA"," ""06079""",117.398,15899992,19639637,San Luis Obispo,CA,CA San Luis Obispo
2498,"San Mateo, CA"," ""06081""",183.586,142240790,163153624,San Mateo,CA,CA San Mateo
2510,"Santa Barbara, CA"," ""06083""",124.267,28531154,33306884,Santa Barbara,CA,CA Santa Barbara
2511,"Santa Clara, CA"," ""06085""",199.25,382333994,407484990,Santa Clara,CA,CA Santa Clara
2513,"Santa Cruz, CA"," ""06087""",127.729,14951016,18076112,Santa Cruz,CA,CA Santa Cruz
2569,"Shasta, CA"," ""06089""",116.048,7496153,9419468,Shasta,CA,CA Shasta
2596,"Sierra, CA"," ""06091""",96.859,82035,102647,Sierra,CA,CA Sierra
2604,"Siskiyou, CA"," ""06093""",111.084,1535958,1892676,Siskiyou,CA,CA Siskiyou
2619,"Solano, CA"," ""06095""",141.226,26796029,33100194,Solano,CA,CA Solano
2625,"Sonoma, CA"," ""06097""",124.405,28339324,34450601,Sonoma,CA,CA Sonoma
2664,"Stanislaus, CA"," ""06099""",125.218,21953592,26519792,Stanislaus,CA,CA Stanislaus
2728,"Sutter, CA"," ""06101""",119.876,3605674,4431816,Sutter,CA,CA Sutter
2759,"Tehama, CA"," ""06103""",117.977,1871437,2336651,Tehama,CA,CA Tehama
2812,"Trinity, CA"," ""06105""",103.8,359132,468566,Trinity,CA,CA Trinity
2819,"Tulare, CA"," ""06107""",130.633,17361025,20580771,Tulare,CA,CA Tulare
2822,"Tuolumne, CA"," ""06109""",107.854,2228425,2793685,Tuolumne,CA,CA Tuolumne
2877,"Ventura, CA"," ""06111""",104.858,48642160,58332732,Ventura,CA,CA Ventura
3113,"Yolo, CA"," ""06113""",131.286,14144241,17360736,Yolo,CA,CA Yolo
3120,"Yuba, CA"," ""06115""",112.927,3012115,3672234,Yuba,CA,CA Yuba
26,"Alamosa, CO"," ""08003""",114.078,646072,794161,Alamosa,CO,CO Alamosa
77,"Arapahoe, CO"," ""08005""",131.233,45899101,53961953,Arapahoe,CO,CO Arapahoe
79,"Archuleta, CO"," ""08007""",117.127,525978,631103,Archuleta,CO,CO Archuleta
112,"Baca, CO"," ""08009""",145.267,166520,201745,Baca,CO,CO Baca
177,"Bent, CO"," ""08011""",80.208,131862,153562,Bent,CO,CO Bent
437,"Chaffee, CO"," ""08015""",142.304,801618,1013481,Chaffee,CO,CO Chaffee
480,"Cheyenne, CO"," ""08017""",169.799,337847,313774,Cheyenne,CO,CO Cheyenne
565,"Clear Creek, CO"," ""08019""",94.769,540964,598490,Clear Creek,CO,CO Clear Creek
629,"Conejos, CO"," ""08021""",137.253,196159,237289,Conejos,CO,CO Conejos
647,"Costilla, CO"," ""08023""",112.326,75742,94189,Costilla,CO,CO Costilla
684,"Crowley, CO"," ""08025""",113.061,122252,139926,Crowley,CO,CO Crowley
700,"Custer, CO"," ""08027""",125.919,133894,169721,Custer,CO,CO Custer
768,"Delta, CO"," ""08029""",94.111,867713,1040344,Delta,CO,CO Delta
774,"Denver, CO"," ""08031""",148.322,80159039,94022018,Denver,CO,CO Denver
803,"Dolores, CO"," ""08033""",136.609,124781,107817,Dolores,CO,CO Dolores
811,"Douglas, CO"," ""08035""",140.398,19195334,22704068,Douglas,CO,CO Douglas
843,"Eagle, CO"," ""08037""",137.337,3877258,4889858,Eagle,CO,CO Eagle
862,"El Paso, CO"," ""08041""",123.33,35445544,42424517,El Paso,CO,CO El Paso
865,"Elbert, CO"," ""08039""",162.934,710333,910721,Elbert,CO,CO Elbert
987,"Fremont, CO"," ""08043""",108.018,1319715,1663451,Fremont,CO,CO Fremont
1011,"Garfield, CO"," ""08045""",110.833,4348504,4320562,Garfield,CO,CO Garfield
