GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "01031","Coffee, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1076853,1087466,1091308,1182681,1223597,1192904,1240681,1268952,1300312,1329843,1249698,1274047,1286552,1339640,1415493,1421695,1426217,1460880,1441716,1406676,1607264,1641541
 "01031","Coffee, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",75.504,76.248,76.518,82.924,85.793,83.641,86.991,88.973,91.172,93.243,87.623,89.331,90.207,93.930,99.248,99.683,100.000,102.430,101.087,98.630,112.694,115.098
 "01031","Coffee, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",792922,810015,832233,930479,969930,967144,1039489,1085270,1127680,1171305,1129008,1182137,1220474,1289575,1386171,1404522,1426217,1482319,1495578,1501770,1784875,1942192
 "01033","Colbert, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",2035977,2062586,2242380,2371814,2442691,2454199,2433777,2462655,2191543,2437971,2549543,2546505,2836076,2747801,2681163,2569947,2453731,2565631,2570117,2532200,2551784,2635868
 "01033","Colbert, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",82.975,84.059,91.387,96.662,99.550,100.019,99.187,100.364,89.315,99.358,103.905,103.781,115.582,111.985,109.269,104.736,100.000,104.560,104.743,103.198,103.996,107.423
 "01033","Colbert, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1430902,1475139,1639800,1812623,1942220,2057885,2096729,2162031,1915988,2172607,2353158,2379494,2660889,2637856,2611436,2496790,2453731,2651287,2670772,2626897,2828492,3158864
 "01035","Conecuh, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",255925,253669,256892,280031,322236,374251,391500,391617,390900,349628,381562,433760,445505,390567,405852,462424,439777,405083,391837,366987,379476,350708
 "01035","Conecuh, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",58.194,57.681,58.414,63.676,73.273,85.100,89.022,89.049,88.886,79.501,86.763,98.632,101.302,88.810,92.286,105.150,100.000,92.111,89.099,83.448,86.288,79.747
 "01035","Conecuh, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",244537,246391,255557,289062,352003,418704,456190,531973,395878,397769,466793,500920,538759,469991,385344,422230,439777,434763,402124,355503,446962,501497
 "01037","Coosa, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",178383,177946,174095,182464,197039,209594,194251,177101,178739,176159,182613,170504,187510,174156,180811,190165,185492,194981,190197,176564,177586,197269
 "01037","Coosa, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",96.167,95.932,93.856,98.367,106.225,112.993,104.722,95.476,96.359,94.968,98.448,91.919,101.088,93.888,97.476,102.519,100.000,105.115,102.536,95.187,95.738,106.349
 "01037","Coosa, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",140168,142198,140492,149174,163969,177361,168503,154213,161192,157054,163520,155421,174004,165735,176243,187412,185492,198253,199529,189787,199641,239328
 "01039","Covington, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1062575,1126529,1079592,1178913,1158243,1154942,1139731,1123455,1118013,1191041,1125515,1191228,1241418,1233749,1235991,1237588,1269561,1274429,1209690,1211960,1252767,1229523
 "01039","Covington, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",83.696,88.734,85.037,92.860,91.232,90.972,89.774,88.492,88.063,93.815,88.654,93.830,97.783,97.179,97.356,97.482,100.000,100.383,95.284,95.463,98.677,96.846
 "01039","Covington, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",783773,836345,816971,921591,920899,947007,968943,970263,992059,1064520,1026819,1099762,1169496,1190625,1208373,1213970,1269561,1302093,1264467,1290584,1428037,1529252
 "01041","Crenshaw, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",278685,268249,288893,320655,382066,394720,348797,350986,339854,395673,385087,431940,462657,432654,447831,415852,441726,476010,464820,377517,417294,443859
 "01041","Crenshaw, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",63.090,60.728,65.401,72.591,86.494,89.359,78.962,79.458,76.938,89.574,87.178,97.785,104.739,97.946,101.382,94.142,100.000,107.761,105.228,85.464,94.469,100.483
 "01041","Crenshaw, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",216518,207425,233811,276822,317702,325272,309950,314610,302254,357933,355474,411750,452201,427420,444037,408130,441726,476741,471983,389206,442428,516679
 "01043","Cullman, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",2165384,2143328,2245619,2451500,2570895,2517707,2389699,2352980,2328355,2401638,2413325,2470440,2667573,2669770,2833666,2792916,2827288,2845911,2921760,2807266,3020298,3112513
